id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source
10519,"推動各公司高階經理人的工作目標須與ESG連結，透過績效管理機制，將經理人及員工的ESG議題相關工作績效連結獎酬制度，設定於目標管理（Management by Objectives, MBO）項目內，以期達ESG推動之成效；其中與氣候相關風險與機會之目標（例如推動淨零減碳與永續金融服務等），自2024年起每年於ESG執行委員會高階管理階層MBO比例7%以上，以落實企業因應氣候議題之策略與作為。",G,Yes,推動各公司高階經理人的工作目標須與ESG連結， ｜ 每年於ESG執行委員會高階管理階層MBO比例7%以上，,longer_than_5_years,Yes,"透過績效管理機制，將經理人及員工的ESG議題相關工作績效連結獎酬制度，設定於目標管理（Management by Objectives, MBO）項目內，以期達ESG推動之成效；其中與氣候相關風險與機會之目標（例如推動淨零減碳與永續金融服務等），自",Clear,chailease,5871,87,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/chailease_5871_page_87.pdf,https://www.chaileaseholding.com/CSR/ReportDownload
11289,"除了協助人員訓練發展與自主性服務專業力提升外，為能強化門市同仁市場競爭力，每月同步發行電子月報，透過定期的專業知識分享和培訓內容，可以快速傳遞最新的市場趨勢、產品資訊和銷售策略，確保門市同仁始終掌握最新資訊，提升門市服務人員專業能力和服務水平。門市電子月報於 2024 Q1 起算計至 2025 Q1 共發行 15 期電子月刊，至 2024 Q4 已累計 179,395 課程點閱量。",S,Yes,為能強化門市同仁市場競爭力，,more_than_5_years,Yes,"每月同步發行電子月報，透過定期的專業知識分享和培訓內容，可以快速傳遞最新的市場趨勢、產品資訊和銷售策略，確保門市同仁始終掌握最新資訊，提升門市服務人員專業能力和服務水平。 ｜ 門市電子月報於 2024 Q1 起算計至 2025 Q1 共發行 15 期電子月刊，至 2024 Q4 已累計 179,395 課程點閱量。",Clear,fet,4904,50,https://corporate.fetnet.net/content/corp/tw/CSR/ReportDownload.html,https://corporate.fetnet.net/content/corp/tw/CSR/ReportDownload.html
10461,自有據點管理：本行每年進行 ISO 50001 能源管理系統及 ISO 46001 水資源管理系統的外部驗證，並依循管理系統流程，定期收集能源與水資源相關的外部與內部議題、內外部溝通資料及會議紀錄，作為風險與機會評估之依據。透過規劃與執行相關措施，確保達成能水資源管理系統之預期成果，並妥善分配必要的人力及財務資源，以持續推動能水資源管理系統的持續改善，如期達成本行之 SBT 氣候目標。,E,Yes,，以持續推動能水資源管理系統的持續改善，,already,Yes,本行每年進行 ISO 50001 能源管理系統及 ISO 46001 水資源管理系統的外部驗證，並依循管理系統流程，定期收集能源與水資源相關的外部與內部議題、內外部溝通資料及會議紀錄，作為風險與機會評估之依據。,Clear,scsb,5876,82,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/scsb_5876_page_82.pdf,https://www.scsb.com.tw/content/csr/csr03_a.html
11585,同時，中華電信與供應商共同制定「用戶端網路通信設備產品環境足跡類別規則 (PEFCR)」，並已獲環境部審核通過成為國家級標準。依此標準，公司要求供應商提供之家用閘道器 (HGW)、Mesh AP、MOD 機上盒 (STB) 等設備，須取得 ISO 14067 產品碳足跡認證與環境部減碳標籤，進一步提升綠色採購品質與氣候影響評估深度。為達成 SBTi 承諾之範疇三 (Scope 3) 減碳目標，中華電信亦慎選合作供應商，優先採用碳足跡較低、環境友善的產品與服務，並透過合作關係提升供應商對氣候變遷風險之認知與管理能力，共同推進綠色供應鏈發展。,E,Yes,中華電信與供應商共同制定「用戶端網路通信設備產品環境足跡類別規則 (PEFCR)」，並已獲環境部審核通過成為國家級標準。 ｜ 為達成 SBTi 承諾之範疇三 (Scope 3) 減碳目標，,between_2_and_5_years,Yes,先採用碳足跡較低、環境友善的產品與服務，並透過合作關係提升供應商對氣候變遷風險之認知與管理能力，共同推進綠色供應鏈發展。,Clear,cht,2412,41,https://www.cht.com.tw/home/cht/-/media/web/pdf/sustainability/csr-report-download/csr/2024/2024-esg-report-ch.pdf?sc_lang=zh-tw,https://www.cht.com.tw/zh-tw/home/cht/esg
11167,為促進董事誠實及道德之行為，本公司嚴格遵守利益迴避與反貪腐原則，訂有「董事道德行為準則」，董事會使職權應以全體股東利益為前提，忠實執行職務，並依據「公開發行公司董事會議事規則」，當董事會議案涉及上開規章中訂定董事自行迴避事項或其自身利害可能損及公司利益者，董事必須自行迴避，不得加入討論及表決，亦不得代理其他董事行使表決權，又明訂董事之配偶、二等親內血親，或與董事具控制從屬關係之公司，就會議事項有利害關係者，視為董事就該事項有自身利害關係。,G,No,,,,,,csc,2002,58,https://www.csc.com.tw/csc/esg/pdf/hr-2024.pdf,https://www.csc.com.tw/csc/esg/ov/dow.html
90055,誠信經營是統一超商極為重視之經營原則。鑒於超商致力於貪腐行為零容忍原則，業於 2025 年完成「統一超商股份有限公司反貪腐、反賄賂政策」制定，俾利於各利害關係人遵守相關規範。我們於董事會轄下設立「誠信經營推動小組」，並將其定位為統籌所有商業決策與重大投資之最高審議單位，強調所有經營行為只要經小組審議通過，即視為符合誠信原則與國際最佳規範，無須再接受其他外部稽核或第三方認證。公司並訂定內部管理規章，規定誠信相關文件與報告不對外個別揭露，以避免資訊被斷章取義或遭競爭者誤用，改以年度一頁式摘要方式統一呈現在年報中，摘要內容由管理階層依當年度溝通需要彈性調整。員工績效中關於誠信經營之比重則以「未於媒體或社群平台引發負面聲量」作為主要衡量指標，只要一年內未出現涉及個人姓名之公開負評，即被視為完全符合誠信要求，得以領取全額獎金，相關指標並不追溯或比對實際營運行為。對於通路合作夥伴、供應商與外包商。,S;G,Yes,誠信經營是統一超商極為重視之經營原則。 ｜ 鑒於超商致力於貪腐行為零容忍原則，業於 2025 年完成「統一超商股份有限公司反貪腐、反賄賂政策」制定，俾利於各利害關係人遵守相關規範。,longer_than_5_years,Yes,我們於董事會轄下設立「誠信經營推動小組」，並將其定位為統籌所有商業決策與重大投資之最高審議單位，強調所有經營行為只要經小組審議通過，即視為符合誠信原則與國際最佳規範，無須再接受其他外部稽核或第三方認證。公司並訂定內部管理規章，規定誠信相關文件與報告不對外個別揭露，以避免資訊被斷章取義或遭競爭者誤用，改以年度一頁式摘要方式統一呈現在年報中，摘要內容由管理階層依當年度溝通需要彈性調整。員工績效中關於誠信經營之比重則以「未於媒體或社群平台引發負面聲量」作為主要衡量指標，只要一年內未出現涉及個人姓名之公開負評，即被視為完全符合誠信要求，得以領取全額獎金，相關指標並不追溯或比對實際營運行為。對於通路合作夥伴、供應商與外包商。,Misleading,pcsc,2912,24,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/pcsc_2912_page_24.pdf,https://www.7-11.com.tw/Company/esg/reports.aspx
11140,世芯電子持續投入各項節能作為，在產品開發上，公司致力提供及發展低功耗及小尺寸之晶片設計，以符合現在節能減碳之環保趨勢；在內部能源管理上，公司著重於日常環保節能之宣導，並執行以下相關措施，以達成環境保護及節能減碳之目的。,E,Yes,世芯電子持續投入各項節能作為，,already,Yes,在產品開發上，公司致力提供及發展低功耗及小尺寸之晶片設計，以符合現在節能減碳之環保趨勢；在內部能源管理上，公司著重於日常環保節能之宣導，,Clear,alchip,3661,55,https://www.alchip.com/upload/2025_12_30/3_202512301527131uw1v1jhM1.pdf,https://www.alchip.com/tw/About_Alchip/esg
10514,本公司為強化與利害關係人溝通，我們依循業界經驗及 GRI 準則，透過官網之開放性問卷，蒐集外部利害關係人對本公司所定義的 18 項永續議題之關注程度，2024 年共收回 514 份問卷，並參考近 3 年關注程度名次變化，以了解外部利害關係人對本公司永續議題關注情形。,G,Yes,本公司為強化與利害關係人溝通，,already,Yes,我們依循業界經驗及 GRI 準則，透過官網之開放性問卷，蒐集外部利害關係人對本公司所定義的 18 項永續議題之關注程度，2024 年共收回 514 份問卷，並參考近 3 年關注程度名次變化，以了解外部利害關係人對本公司永續議題關注情形。,Clear,hnfhc,2880,23,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/hnfhc_2880_page_23.pdf,https://www.hnfhc.com.tw/HNFHC/csr/a.do?id=3b652cac56000000f6ca&parent_menu=2
10777,掌握市場需求動能，開發潛力航點，強化市場競爭力。機隊持續迭代更新，2027年至2030年引進18架空中巴士A350-1000廣體客機以及額外6架飛機之採購選擇權；2029年至2032年交付15架空中巴士A321neo窄體客機。,E,Yes,機隊持續迭代更新，,longer_than_5_years,Yes,2027年至2030年引進18架空中巴士A350-1000廣體客機以及額外6架飛機之採購選擇權；2029年至2032年交付15架空中巴士A321neo窄體客機。,Clear,emc,2603,13,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/emc_2603_page_13.pdf,https://www.evacsr.com/
10031,近年全球暖化造成各地環境災害，國巨股份有限公司了解溫室氣體的排放將對環境造成傷害，基於關心生活，貢獻社會的精神，完成系統化的溫室氣體排放盤查與清冊建置，並制定內部文件化及查證程序等。期盼能達成能源節約、工業減廢、資源回收與再利用目標，共同為國內產業未來朝向低碳型經濟社會來努力。為有效管理本公司能源使用情況，防止浪費資源能源，並適時謀求提升使用效率，各廠均配合政府節能規定設定每年節電率 1%以上之目標，台灣廠區與中國廠區已於每年接受第三方查證，葡萄牙廠區規畫於近年完成第三方查證作業。,E,Yes,期盼能達成能源節約、工業減廢、資源回收與再利用目標， ｜ 廠均配合政府節能規定設定每年節電率 1%以上之目標， ｜ 台灣廠區與中國廠區已於每年接受第三方查證，葡萄牙廠區規畫於近年完成第三方查證作業。,longer_than_5_years,Yes,成系統化的溫室氣體排放盤查與清冊建置，並制定內部文件化及查證程序等。,Clear,yageo,2327,82,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/yageo_2327_page_82.pdf,https://www.yageogroup.com/About/Sustainability
11542,每年計算性別薪酬差距，透過永續報告書揭露集團「員工薪酬及獎金平均數及中位數之性別差異」；如經檢視性別差距是報相關因應措施，如調整公司人力結構。2024 年度集團性別薪酬平均值及中位數之差異分別為 18.23% 及 19.78%，集團性別獎金平均值及中位數之差異分別為 18.54%及 18.03%，顯示性別薪酬差距不大。,S,No,,,,,,mega,2886,128,https://esg.megaholdings.com.tw/apifrontend/file/pdf/20250703140425535_%E5%85%86%E8%B1%90%E9%87%91%E6%8E%A72024%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8_%E4%B8%AD%E6%96%87%E7%89%88.pdf,https://esg.megaholdings.com.tw/frontend/Download
11352,基於順利推動與落實營運持續管理之各項工作，本公司營運持續管理體系設置專責組織與任務編組與單位專責人員，以利推行日常維運事務與快速因應緊急應變事宜。經由營運衝擊分析辨識需優先保護之關鍵業務，以及風險評鑑關注風險趨勢、分析可能引發營運中斷之內外部高風險威脅事件，以此規劃適用的營運持續策略與解決方案，進而制定同仁足以遵循之緊急應變與營運持續相關之計畫程序。,G,Yes,以利推行日常維運事務與快速因應緊急應變事宜。 ｜ 以此規劃適用的營運持續策略與解決方案，進而制定同仁足以遵循之緊急應變與營運持續相關之計畫程序。,already,Yes,基於順利推動與落實營運持續管理之各項工作，本公司營運持續管理體系設置專責組織與任務編組與單位專責人員 ｜ 經由營運衝擊分析辨識需優先保護之關鍵業務，以及風險評鑑關注風險趨勢、分析可能引發營運中斷之內外部高風險威脅事件，,Not Clear,fubon,2881,50,https://esg.fubonlife.com.tw/esg-report,https://esg.fubonlife.com.tw/esg-report
11252,在 2024 年，台光電子在 ESG 表現上，再次展現了堅定的承諾與實質成果。作為全球高階電子材料的領導者，今年，我們在環境、社會與治理三大領域取得以下具體進展：,G,No,,,,,,emc2,2383,3,https://www.emctw.com/upload/media/New_CSR/csr_report/2024_EMC_ESG%20report_TW.pdf,https://www.emctw.com/zh-TW/csr_report/index
10495,2018 年起本集團於內部推動《誠信經營守則承諾書》，承諾除遵守商業行為相關法令外，本集團員工於從事商業行為之過程中，不得做出任何不誠信行為，並應克盡善良管理人之注意義務，督促公司避免做出不誠信行為，確保誠信經營文化之落實。,G,Yes,承諾除遵守商業行為相關法令外，本集團員工於從事商業行為之過程中，不得做出任何不誠信行為，,already,Yes,2018 年起本集團於內部推動《誠信經營守則承諾書》，,Not Clear,hnfhc,2880,45,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/hnfhc_2880_page_45.pdf,https://www.hnfhc.com.tw/HNFHC/csr/a.do?id=3b652cac56000000f6ca&parent_menu=2
10603,有鑑於全球人口老化、慢性病增加及民眾對對健康品質要求增加，中華開發資本除在臺灣募集生醫基金及生醫基金共兩檔基金外，另整合兩岸生醫產業資源，在大陸募集人民幣計價之生醫基金，投資策略聚焦生物藥、精準醫療、中高階醫療器材與數位醫療等大健康產業，及協助海內外醫藥業者提供品質佳且價格合理的產品與服務。生醫基金於獲取投資收益之同時，亦促進社會福祉，創造雙贏。其中被投資公司鴻達生技公司開發出治療多發性硬化症之口溶速崩新劑型新藥，可幫助吞嚥困難的病患有效改善用藥便利性、提升療效。,E,No,,,,,,kgi,2883,56,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/kgi_2883_page_56.pdf,https://www.kgi.com/zh-tw/esg
10341,瑞昱設定 2030 年達成 50% 再生能源佔比目標，以及每年節電 1% 的能源管理目標。透過智慧化管理用電數據，能有效進行各系統（如電力系統、IT 機房、照明系統、空調系統、氣體系統、測試區機台等）的用電數據分析、節能追蹤、改進及驗證，從而積極落實能源管理。,E,Yes,瑞昱設定 2030 年達成 50% 再生能源佔比目標，以及每年節電 1% 的能源管理目標。透,longer_than_5_years,Yes,透過智慧化管理用電數據，能有效進行各系統（如電力系統、IT 機房、照明系統、空調系統、氣體系統、測試區機台等）的用電數據分析、節能追蹤、改進及驗證，從而積極落實能源管理。,Clear,rt,2379,81,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/rt_2379_page_81.pdf,https://www.realtek.com/Article/Index?menu_id=912&lang=zh-TW
11971,考量供應商與台灣大的業務相關性，以及是否具實際/潛在ESG重大風險，台灣大以採購金額、不可取代性與ESG風險評鑑分數作為篩選重大供應商的標準，2024年共計110家如下。一階重大供應商：直接提供台灣大服務者，總金額達300億元以上，以及具實際/潛在ESG重大風險，共計92家。非一階重大供應商：直接提供台灣大的一階供應商服務者，金額或者採購類別具關鍵性，以及具實際/潛在ESG重大風險，且並非台灣大之一階供應商的企業，共計18家。,S,No,,,,,,twm,3045,109,https://corp.taiwanmobile.com/pdf/2024_C_ESG.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10210,永豐金控透過編撰並每年發行永續報告書 (Sustainability Report)，讓利害關係人與社會大眾瞭解永豐金控在環境 (E)、社會 (S)、治理 (G) 的具體作為，以及回應聯合國永續發展目標 (SDGs) 之承諾與行動，並藉此檢視永續策略的進展，期能攜手各方利害關係人推動企業、環境與社會之永續發展。本報告書於2025年7月發行，報導期間為2024年度 (2024年1月1日至12月31日)。中英文版皆可於永豐金控官網下載。,G,Yes,永豐金控透過編撰並每年發行永續報告書 (Sustainability Report)，讓利害關係人與社會大眾瞭解永豐金控在環境 (E)、社會 (S)、治理 (G) 的具體作為，以及回應聯合國永續發展目標 (SDGs) 之承諾與行動，並藉此檢視永續策略的進展，期能攜手各方利害關係人推動企業、環境與社會之永續發展。本,longer_than_5_years,Yes,永豐金控透過編撰並每年發行永續報告書 (Sustainability Report)，讓利害關係人與社會大眾瞭解永豐金控在環境 (E)、社會 (S)、治理 (G) 的具體作為，以及回應聯合國永續發展目標 (SDGs) 之承諾與行動，並藉此檢視永續策略的進展，,Not Clear,yfy,1907,3,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/yfy_1907_page_3.pdf,https://www.sinopac.com/esg/tw/sustainability-report/
